feature,importance
remainder__EXT_SOURCE_MEAN,0.080068745
remainder__EXT_SOURCE_MIN,0.043518525
remainder__EXT_SOURCE_MAX,0.032710277
onehotencoder__NAME_INCOME_TYPE_Pensioner,0.022998728
onehotencoder__NAME_EDUCATION_TYPE_Higher education,0.012219046
onehotencoder__ORGANIZATION_TYPE_XNA,0.010902195
onehotencoder__NAME_INCOME_TYPE_Working,0.010710572
remainder__EXT_SOURCE_3,0.010477771
remainder__FLAG_DOCUMENT_3,0.010422334
remainder__CREDIT_GOODS_RATIO,0.009542447
onehotencoder__NAME_EDUCATION_TYPE_Secondary / secondary special,0.009454654
remainder__FLOORSMIN_MEDI,0.009405118
onehotencoder__CODE_GENDER_M,0.008649906
onehotencoder__CODE_GENDER_F,0.0084011
remainder__AMT_REQ_CREDIT_BUREAU_DAY_MISSING,0.008324768
remainder__EXT_SOURCE_MISSING_COUNT,0.0081429165
remainder__ANNUITY_CREDIT_RATIO,0.007872383
remainder__ELEVATORS_AVG,0.0077995392
onehotencoder__FLAG_OWN_CAR_Y,0.00774287
remainder__AMT_REQ_CREDIT_BUREAU_HOUR_MISSING,0.00765046
remainder__AMT_GOODS_PRICE_LOG,0.007525081
onehotencoder__FLAG_OWN_CAR_N,0.007291045
remainder__FLAG_EMP_PHONE,0.0070260437
remainder__EXT_SOURCE_1_MISSING,0.006916947
remainder__AGE_YEARS,0.0068902224
remainder__CREDIT_TERM_MONTHS,0.0066354927
remainder__AMT_GOODS_PRICE,0.006559706
remainder__AMT_ANNUITY_LOG,0.006535453
remainder__EXT_SOURCE_COUNT,0.0064718504
remainder__REG_CITY_NOT_LIVE_CITY,0.0062816595
remainder__CREDIT_GOODS_DIFF,0.0061322683
onehotencoder__NAME_FAMILY_STATUS_Married,0.005948932
remainder__EMPLOYED_YEARS,0.005849499
remainder__FLAG_WORK_PHONE,0.0058132303
remainder__DEF_30_CNT_SOCIAL_CIRCLE,0.005737088
remainder__AMT_ANNUITY,0.0054761143
remainder__EXT_SOURCE_STD,0.0054740575
remainder__FLOORSMAX_AVG,0.005448915
remainder__DAYS_EMPLOYED,0.005433953
remainder__REG_REGION_NOT_LIVE_REGION,0.0054333727
remainder__OWN_CAR_AGE,0.005425977
remainder__EMPLOYED_AGE_RATIO,0.005397536
remainder__CAR_OWNER,0.005380125
onehotencoder__WALLSMATERIAL_MODE_Panel,0.005316231
remainder__REGION_RATING_CLIENT_W_CITY,0.005303475
remainder__CAR_AGE_TO_PERSON_AGE,0.005257968
remainder__REG_CITY_NOT_WORK_CITY,0.005233729
remainder__DOCUMENTS_PROVIDED_COUNT,0.0051795486
remainder__CHILDREN_RATIO,0.005052894
remainder__DAYS_BIRTH,0.0050379117
remainder__DEF_60_CNT_SOCIAL_CIRCLE,0.005037828
onehotencoder__NAME_FAMILY_STATUS_Separated,0.004999928
onehotencoder__OCCUPATION_TYPE_Core staff,0.0048789554
onehotencoder__ORGANIZATION_TYPE_Self-employed,0.0048252307
remainder__YEARS_BUILD_AVG_MISSING,0.0047002835
remainder__CREDIT_INCOME_DIFF,0.0046605505
remainder__EXT_SOURCE_2,0.0046405
onehotencoder__NAME_CONTRACT_TYPE_Cash loans,0.0045644
remainder__FLOORSMAX_MEDI,0.0045087948
remainder__EXT_SOURCE_3_MISSING,0.0045025884
onehotencoder__ORGANIZATION_TYPE_Transport: type 3,0.0043971194
onehotencoder__ORGANIZATION_TYPE_Military,0.004373034
onehotencoder__WALLSMATERIAL_MODE_Others,0.0043629776
onehotencoder__NAME_INCOME_TYPE_State servant,0.004340464
onehotencoder__ORGANIZATION_TYPE_Security,0.0041691265
remainder__LAST_PHONE_CHANGE_YEARS,0.004159883
onehotencoder__OCCUPATION_TYPE_Low-skill Laborers,0.0041375896
onehotencoder__NAME_CONTRACT_TYPE_Revolving loans,0.0041347267
remainder__FLOORSMAX_MODE,0.004057609
remainder__ID_PUBLISH_YEARS,0.0040175477
onehotencoder__ORGANIZATION_TYPE_Construction,0.0039558634
remainder__NONLIVINGAREA_AVG_MISSING,0.0039230287
onehotencoder__NAME_HOUSING_TYPE_Rented apartment,0.0038642746
remainder__EXT_SOURCE_1,0.0038557847
onehotencoder__ORGANIZATION_TYPE_School,0.0038492156
remainder__AMT_INCOME_TOTAL_LOG,0.0038036557
onehotencoder__FONDKAPREMONT_MODE_reg oper account,0.0037506374
remainder__AMT_REQ_CREDIT_BUREAU_QRT,0.003747963
remainder__GOODS_INCOME_RATIO,0.003705031
remainder__LIVINGAREA_MEDI,0.0036955557
remainder__LANDAREA_AVG_MISSING,0.0036577259
remainder__AMT_REQ_CREDIT_BUREAU_DAY,0.0036498448
onehotencoder__ORGANIZATION_TYPE_Realtor,0.0036209852
remainder__ANNUITY_INCOME_RATIO,0.0035719078
onehotencoder__OCCUPATION_TYPE_Accountants,0.0035706155
remainder__LANDAREA_MEDI,0.0035698127
remainder__AMT_CREDIT,0.0035371927
onehotencoder__OCCUPATION_TYPE_Drivers,0.0035301321
remainder__YEARS_BEGINEXPLUATATION_AVG_MISSING,0.0034920522
remainder__ELEVATORS_MODE,0.0034509604
remainder__DAYS_ID_PUBLISH,0.0034504172
remainder__AMT_CREDIT_LOG,0.0033718336
onehotencoder__ORGANIZATION_TYPE_Industry: type 9,0.0033710527
remainder__FLAG_DOCUMENT_8,0.0033611811
remainder__TOTALAREA_MODE_MISSING,0.0033454285
remainder__APARTMENTS_MODE,0.0032955105
onehotencoder__WALLSMATERIAL_MODE_Block,0.0032593927
remainder__YEARS_BEGINEXPLUATATION_AVG,0.0032469605
remainder__CREDIT_INCOME_RATIO,0.0031970264
remainder__BASEMENTAREA_AVG,0.0031900534
remainder__YEARS_BUILD_MODE_MISSING,0.003181174
remainder__ADULTS_COUNT,0.0031730714
onehotencoder__OCCUPATION_TYPE_Laborers,0.0031633698
remainder__TOTAL_CONTACT_FLAGS,0.003156198
remainder__NONLIVINGAREA_MODE,0.0031257938
remainder__AMT_REQ_CREDIT_BUREAU_YEAR,0.003120077
remainder__AMT_REQ_CREDIT_BUREAU_WEEK_MISSING,0.0030842167
remainder__REGISTRATION_YEARS,0.003083113
onehotencoder__FONDKAPREMONT_MODE_not specified,0.0030829736
remainder__ID_PUBLISH_AGE_RATIO,0.0030766139
remainder__YEARS_BUILD_MEDI,0.00306121
onehotencoder__WEEKDAY_APPR_PROCESS_START_THURSDAY,0.0030605877
onehotencoder__WEEKDAY_APPR_PROCESS_START_MONDAY,0.0030480162
remainder__OBS_30_CNT_SOCIAL_CIRCLE,0.0030439945
remainder__REGION_POPULATION_RELATIVE,0.0030397696
remainder__YEARS_BEGINEXPLUATATION_MODE,0.0030379938
onehotencoder__ORGANIZATION_TYPE_Business Entity Type 2,0.0030330205
onehotencoder__ORGANIZATION_TYPE_Security Ministries,0.003030058
remainder__REGION_RATING_CLIENT,0.0030196225
onehotencoder__ORGANIZATION_TYPE_Business Entity Type 3,0.0030170428
remainder__LIVINGAREA_MODE,0.0030149561
remainder__LIVING_APARTMENTS_RATIO,0.002981068
remainder__FLOORSMIN_MODE,0.0029673604
remainder__NONLIVINGAREA_MEDI,0.0029669532
remainder__BASEMENTAREA_MEDI,0.002961435
remainder__DAYS_REGISTRATION,0.0029555883
remainder__ENTRANCES_MODE,0.0029270726
remainder__TOTALAREA_MODE,0.0029262924
remainder__HOUR_APPR_PROCESS_START,0.0029152755
remainder__FLOORSMIN_AVG,0.0029081923
onehotencoder__ORGANIZATION_TYPE_Other,0.002907835
onehotencoder__ORGANIZATION_TYPE_Trade: type 7,0.0029056638
remainder__DAYS_LAST_PHONE_CHANGE,0.002893545
onehotencoder__NAME_HOUSING_TYPE_Office apartment,0.002889324
onehotencoder__NAME_FAMILY_STATUS_Civil marriage,0.0028543647
onehotencoder__OCCUPATION_TYPE_Security staff,0.002829991
remainder__LIVINGAREA_AVG,0.0028171276
remainder__INCOME_PER_FAMILY_MEMBER,0.0028034735
remainder__COMMONAREA_AVG,0.0027988935
remainder__LIVINGAPARTMENTS_MEDI,0.0027985817
onehotencoder__ORGANIZATION_TYPE_Industry: type 3,0.0027930818
remainder__FAMILY_SIZE_PER_INCOME,0.0027792312
remainder__APARTMENTS_AVG,0.00277399
onehotencoder__NAME_HOUSING_TYPE_Co-op apartment,0.0027725163
remainder__YEARS_BEGINEXPLUATATION_MEDI,0.002762461
onehotencoder__NAME_EDUCATION_TYPE_Lower secondary,0.0027527688
remainder__AMT_REQ_CREDIT_BUREAU_MON,0.0027382239
onehotencoder__NAME_INCOME_TYPE_Commercial associate,0.0027214244
onehotencoder__ORGANIZATION_TYPE_Bank,0.0027123261
remainder__LANDAREA_MODE,0.0027069068
onehotencoder__NAME_HOUSING_TYPE_With parents,0.002698653
remainder__INCOME_PER_ADULT,0.0026911818
remainder__REGISTRATION_AGE_RATIO,0.0026873555
onehotencoder__OCCUPATION_TYPE_Missing,0.0026732064
remainder__FLAG_DOCUMENT_5,0.0026470819
remainder__APARTMENTS_MEDI,0.0026297052
remainder__YEARS_BUILD_AVG,0.002615792
remainder__INCOME_AFTER_ANNUITY,0.0026126618
remainder__COMMONAREA_MODE,0.002610512
onehotencoder__ORGANIZATION_TYPE_Transport: type 2,0.0025906404
remainder__CNT_FAM_MEMBERS,0.0025837347
onehotencoder__OCCUPATION_TYPE_High skill tech staff,0.0025826728
"onehotencoder__WALLSMATERIAL_MODE_Stone, brick",0.002567148
remainder__AMT_REQ_CREDIT_BUREAU_WEEK,0.0025622922
remainder__BASEMENTAREA_MODE,0.0025280067
remainder__INCOME_PER_CHILD,0.002508269
remainder__REG_REGION_NOT_WORK_REGION,0.0024894634
remainder__NONLIVINGAPARTMENTS_MODE,0.0024793816
remainder__ENTRANCES_MEDI,0.0024739054
onehotencoder__OCCUPATION_TYPE_Managers,0.0024735492
remainder__NONLIVINGAREA_AVG,0.002468874
remainder__ENTRANCES_AVG,0.0024614823
remainder__NONLIVINGAPARTMENTS_AVG,0.0024578979
onehotencoder__NAME_HOUSING_TYPE_House / apartment,0.0024578723
onehotencoder__ORGANIZATION_TYPE_Trade: type 3,0.0024341901
remainder__AMT_INCOME_TOTAL,0.002432629
